LuasBangunan	LuasTanah	Lantai	Lokasi	Pengamanan	BentukTanah	DayaListrik	Carport	Material	SumberAir	Kamar	WC	Harga
36	72	1	1	1	1	1300	1	1	0	2	1	287000000
45	90	1	1	1	1	1300	1	1	0	2	1	356000000
50	90	1	1	1	1	1300	1	1	0	2	1	471000000
70	150	1	1	1	1	1300	1	1	0	3	1	541000000
70	212	1	1	1	1	1300	1	1	0	3	1	720000000
185	199	2	1	0	1	2200	1	1	0	4	3	2468585746
185	211	2	1	0	1	2200	1	1	0	4	3	2621506987
185	257	2	1	0	1	2200	1	1	0	4	3	2949195360
36	78	1	1	0	1	1300	1	1	1	2	1	439179041
36	90	1	1	0	1	1300	1	1	1	2	1	477900526
36	95	1	1	0	1	1300	1	1	1	2	1	488529173
36	107	1	1	0	1	1300	1	1	1	2	1	492343496
36	129	1	1	0	1	1300	1	1	1	2	1	582150745
40	100	1	0	0	1	1300	1	1	2	2	2	474498097
36	90	1	0	0	1	1300	1	1	2	2	2	433718173
40	96	1	0	0	1	1300	1	1	2	2	2	463718173
40	106	1	0	0	1	1300	1	1	2	2	2	490667983
100	90	2	1	0	1	2200	2	1	0	2	2	1451500000
112	132	2	1	0	1	2200	2	1	0	3	2	1892100000
123	145	2	1	0	1	2200	2	1	0	3	2	2077600000
150	188	2	1	0	1	2200	2	1	0	3	3	2627800000
200	276	2	1	0	1	2200	2	1	0	3	3	3718400000
50	87.5	1	1	0	1	2200	1	1	0	1	1	632848650
70	87.5	2	1	0	1	2200	1	1	0	2	2	790832700
92	131	2	1	0	1	2200	2	1	0	2	2	1084431400
40	78	1	1	0	1	1300	1	1	0	2	1	464000000
48	84	1	1	0	1	1300	1	1	0	2	1	523400000
54	90	1	1	0	1	1300	1	1	0	2	1	563900000
72	120	1	1	0	1	1300	2	1	0	3	2	774375000
36	72	1	1	0	1	1300	1	1	0	2	1	516000000
45	84	1	1	0	1	1300	1	1	0	2	1	630000000
38	75	1	1	0	1	1300	1	1	2	2	1	412245000
48	90	1	1	0	1	1300	1	1	2	2	1	499475000
46	83	1	1	1	1	1300	1	1	0	2	1	479800000
57	90	1	1	1	1	1300	1	1	0	3	1	549800000
67	112	1	1	1	1	1300	2	1	0	3	1	699800000
70	128	1	1	1	1	1300	2	1	0	3	1	809800000
40	72	1	1	0	1	1300	1	1	2	2	1	280000000
48	91	1	1	0	1	1300	1	1	2	2	1	380000000
78	126	1	1	0	1	1300	1	1	0	2	1	920599262
85	216	1	1	0	1	1300	1	1	0	2	1	1332183225
74	126	1	1	0	1	1300	1	1	0	2	1	860000000
74	141	1	1	0	1	1300	1	1	0	2	1	920375000
71	105	1	1	0	1	1300	1	1	0	2	1	763400000
100	218	1	1	0	1	1300	1	1	0	2	1	1334950000
140	126	2	1	0	1	1300	2	1	0	3	3	1357900000
168	228	2	1	0	1	1300	2	1	0	3	3	1860900000
30	60	1	1	0	1	1300	1	1	0	1	1	346400000
45	84	1	1	0	1	1300	1	1	0	2	1	494900000
50	84	1	1	0	1	1300	1	1	0	2	1	545400000
70	84	2	1	0	1	1300	2	1	0	3	2	648500000
95	96	2	1	0	1	2200	2	1	0	2	2	829900000
123	138	2	1	0	1	2200	2	1	0	2	2	1463900000
40	94	1	1	0	1	1300	1	1	0	2	1	590000000
90	147	1	1	0	1	1300	1	1	0	2	1	1000000000
90	154	1	1	0	1	1300	1	1	0	2	1	1030000000
90	165	1	1	0	1	1300	1	1	0	2	1	1060000000
90	176	1	1	0	1	1300	1	1	0	2	1	1100000000
90	185	1	1	0	1	1300	1	1	0	2	1	1130000000
116	193	1	1	0	1	1300	1	1	0	2	1	1250000000
115	203	1	1	0	1	1300	1	1	0	2	1	1265000000
